# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 29 13:02:40 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radj_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmasse_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmassprov not like '%calculated value%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radj_reflink: Planet Radius Reference
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasse_reflink: Planet Mass or Mass*sin(i) [Earth Mass] Reference
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_radj_reflink,pl_bmasse,pl_bmasse_reflink,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
411,HATS-41 b,HATS-41,1,1,Transit,2018,HATSouth,0,4.19364900,0.058300,14.908,1.330,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,3082.95100,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,9.70000,Mass,0.380000,1300.31,1710,0,,6424.00,1.71,1.50,0.470,[Fe/H],4.14,06h54m04.17s,103.5173558,-27d03m01.50s,-27.0504156,737.6680000,12.6780000,11.4980000,12.5892000
412,HATS-42 b,HATS-42,1,1,Transit,2018,HATSouth,0,2.29210200,0.036890,15.693,1.400,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,597.52040,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,1.88000,Mass,0.229000,1637.21,1856,0,,6060.00,1.48,1.27,0.220,[Fe/H],4.20,07h13m48.58s,108.4523991,-33d26m14.45s,-33.4373462,800.3770000,13.6820000,12.2450000,13.5627000
413,HATS-43 b,HATS-43,1,1,Transit,2018,HATSouth,0,4.38884970,0.049440,13.227,1.180,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,82.95363,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,0.26100,Mass,0.173000,192.23,1003,0,,5099.00,0.81,0.84,0.050,[Fe/H],4.54,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179,362.2730000,13.5620000,11.5560000,13.4014000
414,HATS-44 b,HATS-44,1,1,Transit,2018,HATSouth,0,2.74390040,0.036490,11.960,1.067,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,177.98480,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,0.56000,Mass,0.279000,306.42,1161,0,,5080.00,0.85,0.86,0.320,[Fe/H],4.51,05h37m18.42s,84.3267559,-27d58m21.27s,-27.9725758,446.0350000,14.3970000,12.1880000,14.1595000
415,HATS-45 b,HATS-45,1,1,Transit,2018,HATSouth,0,4.18762440,0.055110,14.415,1.286,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,222.48100,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,0.70000,Mass,0.240000,811.35,1518,0,,6450.00,1.32,1.27,0.020,[Fe/H],4.31,06h47m58.62s,101.9942455,-21d54m38.56s,-21.9107112,772.1100000,13.3250000,12.1370000,13.2385000
416,HATS-46 b,HATS-46,1,1,Transit,2018,HATSouth,0,4.74237290,0.053670,10.122,0.903,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,54.98459,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,0.17300,Mass,0.559000,209.77,1054,0,,5495.00,0.85,0.92,-0.060,[Fe/H],4.54,00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021,453.8080000,13.7830000,11.9650000,13.5270000
417,HATS-47 b,HATS-47,1,1,Transit,2020,HATSouth,0,3.92280380,0.042690,12.520,1.117,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,117.27927,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,0.36900,Mass,0.088000,87.73,853,0,,4512.00,0.66,0.67,-0.113,[Fe/H],4.63,19h09m56.26s,287.4844021,-49d39m53.79s,-49.6649424,300.6700000,14.6020000,11.9260000,14.3998000
418,HATS-48 A b,HATS-48 A,2,1,Transit,2020,HATSouth,0,3.13166660,0.037690,8.967,0.800,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,77.23269,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,0.24300,Mass,0.162000,137.60,955,0,,4546.00,0.72,0.73,0.186,[Fe/H],4.59,19h14m41.28s,288.6720048,-59d34m45.66s,-59.5793505,263.6090000,14.2260000,11.4270000,13.8951000
419,HATS-49 b,HATS-49,1,1,Transit,2020,HATSouth,0,4.14804670,0.045150,8.575,0.765,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,112.19399,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,0.35300,Mass,0.071000,80.45,835,0,,4405.00,0.70,0.71,0.208,[Fe/H],4.60,00h26m27.26s,6.6135927,-56d20m39.41s,-56.3442798,324.4130000,14.9880000,11.9380000,14.5449000
420,HATS-5 b,HATS-5,1,1,Transit,2014,HATSouth,0,4.76338700,0.054200,10.223,0.912,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,75.32300,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,0.23700,Mass,0.019000,183.24,1025,0,G,5304.00,0.87,0.94,0.190,[Fe/H],4.53,04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568,246.3840000,12.5980000,10.7030000,12.4288000
421,HATS-50 b,HATS-50,1,1,Transit,2017,HATSouth,0,3.82970150,0.050460,12.666,1.130,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,123.95370,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,0.39000,Mass,0.516000,,,0,,5990.00,1.12,1.17,,,4.41,20h01m42.74s,300.4280761,-26d04m39.23s,-26.0775640,756.7420000,14.0450000,12.2890000,13.8936000
422,HATS-51 b,HATS-51,1,1,Transit,2017,HATSouth,0,3.34887020,0.046390,15.805,1.410,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,244.09344,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,0.76800,Mass,0.330000,740.22,1553,0,,5758.00,1.44,1.19,,,4.20,06h51m23.38s,102.8474248,-29d03m31.16s,-29.0586551,389.5700000,12.5250000,10.8670000,12.3293000
423,HATS-52 b,HATS-52,1,1,Transit,2017,HATSouth,0,1.36665436,0.024980,15.491,1.382,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,711.93920,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,2.24000,Mass,0.246000,1310.22,1834,0,,6010.00,1.05,1.11,-0.284,[M/H],4.45,09h20m21.02s,140.0875894,-31d16m09.16s,-31.2692116,555.1340000,13.8440000,12.1140000,13.6269000
424,HATS-53 b,HATS-53,1,1,Transit,2017,HATSouth,0,3.85377680,0.047530,15.020,1.340,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,189.10885,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,0.59500,Mass,0.330000,471.61,1312,0,,5644.00,1.10,0.96,,,4.34,11h46m30.80s,176.6283230,-33d51m36.28s,-33.8600764,585.7700000,13.9440000,12.0460000,13.6564000
425,HATS-54 b,HATS-54,1,1,Transit,2019,HATSouth,0,2.54417650,0.037000,11.377,1.015,<a refstr=JACKSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221101044J/abstract target=ref>Jackson et al. 2022</a>,239.32479,<a refstr=JACKSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221101044J/abstract target=ref>Jackson et al. 2022</a>,0.75300,Mass,0.000000,476.97,1429,0,G6 V,5621.00,1.23,1.05,0.370,[Fe/H],4.20,13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393,748.5850000,13.9370000,12.1700000,13.7762000
426,HATS-55 b,HATS-55,1,1,Transit,2019,HATSouth,0,4.20420010,0.054120,14.022,1.251,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,292.72143,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,0.92100,Mass,0.092000,355.91,1367,0,,6214.00,1.13,1.20,0.108,[Fe/H],4.41,07h37m08.01s,114.2833819,-32d45m19.51s,-32.7554188,609.8380000,13.5250000,12.0200000,13.3498000
427,HATS-56 b,HATS-56,1,1,Transit,2019,HATSouth,0,4.32479900,0.060430,18.921,1.688,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,191.33366,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,0.60200,Mass,0.019000,1080.87,1902,0,,6536.00,2.20,1.57,0.190,[Fe/H],3.95,12h00m39.62s,180.1650720,-45d47m58.04s,-45.7994559,564.4090000,11.4770000,10.2510000,11.4877000
428,HATS-57 b,HATS-57,1,1,Transit,2019,HATSouth,0,2.35062100,0.034930,12.767,1.139,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,1000.21101,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,3.14700,Mass,0.028000,570.23,1413,0,,5587.00,0.96,1.03,0.268,[Fe/H],4.48,04h03m47.59s,60.9482779,-19d03m24.55s,-19.0568182,279.4850000,12.3330000,10.7070000,12.1816000
429,HATS-58 A b,HATS-58 A,2,1,Transit,2019,HATSouth,0,4.21808960,0.057980,12.274,1.095,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,327.36490,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,1.03000,Mass,0.168000,382.71,1721,0,,7175.00,1.43,1.46,,,4.29,12h27m08.95s,186.7873036,-48d58m42.28s,-48.9784105,403.5910000,11.5720000,10.2890000,11.7679000
430,HATS-59 b,HATS-59,1,2,Transit,2018,HATSouth,0,5.41608100,0.061120,12.621,1.126,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..216S/abstract target=ref>Sarkis et al. 2018</a>,256.17098,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..216S/abstract target=ref>Sarkis et al. 2018</a>,0.80600,Mass,0.129000,269.00,1128,0,,5670.00,1.04,1.04,0.180,[Fe/H],4.42,11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770,642.8840000,14.0330000,12.2380000,13.7854000
432,HATS-6 b,HATS-6,1,1,Transit,2015,HATSouth,0,3.32527250,0.036230,11.187,0.998,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..166H/abstract target=ref>Hartman et al. 2015</a>,101.38777,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..166H/abstract target=ref>Hartman et al. 2015</a>,0.31900,Mass,0.000000,47.33,713,0,M1 V,3724.00,0.57,0.57,0.200,[Fe/H],4.68,05h52m35.23s,88.1468079,-19d01m53.86s,-19.0316268,169.3180000,15.0440000,11.2240000,14.3601000
433,HATS-60 b,HATS-60,1,1,Transit,2018,HATSouth,0,3.56082900,0.047080,12.924,1.153,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,210.40346,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.66200,Mass,0.191000,903.90,1528,0,,5688.00,1.46,1.10,0.335,[Fe/H],4.15,22h45m27.37s,341.3640336,-14d59m30.39s,-14.9917747,486.4740000,12.6620000,10.9880000,12.5004000
434,HATS-61 b,HATS-61,1,1,Transit,2018,HATSouth,0,7.81795300,0.079080,13.395,1.195,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1080.62200,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,3.40000,Mass,0.092000,374.20,1226,0,,5542.00,1.66,1.08,0.247,[Fe/H],4.03,04h06m37.87s,61.6578005,-25d20m58.80s,-25.3496674,679.7610000,13.3520000,11.4780000,13.0682000
435,HATS-62 b,HATS-62,1,1,Transit,2018,HATSouth,0,3.27688370,0.041630,11.825,1.055,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,56.89157,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.17900,Mass,0.298000,387.40,1237,0,,5416.00,0.93,0.90,0.133,[Fe/H],4.45,20h49m47.83s,312.4493079,-24d18m12.62s,-24.3035060,523.0670000,14.1710000,12.1090000,13.8321000
436,HATS-63 b,HATS-63,1,1,Transit,2018,HATSouth,0,3.05665270,0.040260,13.529,1.207,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,305.11680,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.96000,Mass,0.136000,634.10,1398,0,,5627.00,1.07,0.93,0.081,[Fe/H],4.35,04h29m40.46s,67.4185820,-28d11m49.97s,-28.1972149,623.2320000,13.9920000,12.2160000,13.7213000
437,HATS-64 b,HATS-64,1,1,Transit,2018,HATSouth,0,4.90889700,0.065620,18.820,1.679,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,305.11680,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.96000,Mass,0.151000,1711.00,1793,0,,6554.00,2.11,1.56,0.220,[Fe/H],3.98,09h37m09.03s,144.2876092,-29d48m01.60s,-29.8004440,1080.1500000,13.0450000,11.7050000,12.8390000
438,HATS-65 b,HATS-65,2,1,Transit,2018,HATSouth,0,3.10516100,0.044970,16.825,1.501,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,260.93843,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.82100,Mass,0.062000,1178.00,1634,0,,6277.00,1.31,1.26,0.199,[Fe/H],4.30,19h31m45.55s,292.9397825,-26d44m24.73s,-26.7402021,493.3200000,12.6790000,11.0950000,12.3793000
439,HATS-66 b,HATS-66,1,1,Transit,2018,HATSouth,0,3.14143910,0.047140,15.816,1.411,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1694.03390,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,5.33000,Mass,0.064000,2637.00,1998,0,,6626.00,1.84,1.41,-0.017,[Fe/H],4.06,06h45m34.75s,101.3948048,-33d52m54.09s,-33.8816918,1477.9800000,14.2830000,12.7610000,14.0086000
440,HATS-67 b,HATS-67,1,1,Transit,2018,HATSouth,0,1.60917880,0.030320,18.887,1.685,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,460.85350,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1.45000,Mass,0.057000,3821.00,2193,0,,6594.00,1.44,1.44,0.332,[Fe/H],4.28,12h00m50.11s,180.2087883,-46d08m11.11s,-46.1364201,960.1090000,13.6980000,12.3270000,13.5596000
441,HATS-68 b,HATS-68,1,1,Transit,2018,HATSouth,0,3.58622020,0.050710,13.809,1.232,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,410.00070,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1.29000,Mass,0.036000,1521.00,1741,0,,6147.00,1.75,1.35,0.210,[Fe/H],4.08,01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242,603.9550000,12.3120000,10.9490000,12.1631000
442,HATS-69 b,HATS-69,1,1,Transit,2018,HATSouth,0,2.22525770,0.032110,10.593,0.945,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,183.38791,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,0.57700,Mass,0.519000,466.60,1296,0,,5137.00,0.88,0.89,0.377,[Fe/H],4.50,19h17m11.38s,289.2974275,-60d53m30.34s,-60.8917599,414.5370000,14.0740000,11.8750000,13.7643000
443,HATS-7 b,HATS-7,1,1,Transit,2015,HATSouth,0,3.18531500,0.040120,6.311,0.563,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...813..111B/abstract target=ref>Bakos et al. 2015</a>,38.13960,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...813..111B/abstract target=ref>Bakos et al. 2015</a>,0.12000,Mass,0.170000,211.62,1084,0,K2,4985.00,0.82,0.85,0.250,[Fe/H],4.54,13h55m25.62s,208.8567465,-21d12m28.29s,-21.2078587,240.7070000,13.3470000,10.9760000,13.0499000
444,HATS-70 b,HATS-70,1,1,Transit,2019,HATSouth,0,1.88823780,0.036320,15.513,1.384,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,4100.00700,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,12.90000,Mass,0.180000,9110.00,2730,0,,7930.00,1.88,1.78,0.041,[Fe/H],4.17,07h16m25.09s,109.1045212,-31d14m39.82s,-31.2443947,1458.8300000,12.2270000,12.0400000,12.5860000
445,HATS-71 b,HATS-71,1,1,Transit,2020,HATSouth,0,3.79552020,0.037450,11.478,1.024,<a refstr=BAKOS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..267B/abstract target=ref>Bakos et al. 2020</a>,117.59710,<a refstr=BAKOS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..267B/abstract target=ref>Bakos et al. 2020</a>,0.37000,Mass,0.000000,18.08,587,0,M3 V,3405.00,0.48,0.49,0.170,[Fe/H],4.77,01h02m12.45s,15.5518893,-61d45m22.08s,-61.7561333,140.2250000,16.4370000,11.7270000,15.3512000
446,HATS-72 b,HATS-72,1,1,Transit,2020,HATSouth,0,7.32794740,0.066517,8.097,0.722,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,39.85588,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,0.12540,Mass,0.013000,49.58,739,0,,4656.10,0.72,0.73,0.099,[Fe/H],4.59,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,127.5890000,12.3240000,9.7640000,12.0725000
447,HATS-74 A b,HATS-74 A,2,1,Transit,2021,HATSouth,0,1.73185606,0.023840,11.568,1.032,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,464.02947,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,1.46000,Mass,0.044000,106.90,895,0,,3776.90,0.58,0.60,0.514,[Fe/H],4.70,11h24m03.55s,171.0147921,-19d33m25.05s,-19.5569588,299.3890000,17.2600000,12.3610000,15.9837000
448,HATS-75 b,HATS-75,1,1,Transit,2021,HATSouth,0,2.78865560,0.032742,9.909,0.884,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,156.05375,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,0.49100,Mass,0.064000,59.26,772,0,,3790.40,0.58,0.60,0.522,[Fe/H],4.68,04h03m47.85s,60.9493919,-25d24m32.12s,-25.4089214,194.9640000,15.6890000,11.5840000,14.9033000
449,HATS-76 b,HATS-76,1,1,Transit,2021,HATSouth,0,1.94164230,0.026580,12.094,1.079,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,835.57088,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,2.62900,Mass,0.062000,129.80,940,0,,4016.00,0.63,0.66,0.322,[Fe/H],4.67,04h41m21.54s,70.3397665,-32d19m13.50s,-32.3204175,385.6890000,16.6800000,12.8120000,15.7942000
450,HATS-77 b,HATS-77,1,1,Transit,2021,HATSouth,0,3.08762620,0.036070,13.058,1.165,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,436.69623,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacuten et al. 2022</a>,1.37400,Mass,0.045000,78.37,828,0,,4071.00,0.64,0.66,0.253,[Fe/H],4.64,09h59m17.68s,149.8236672,-27d23m34.14s,-27.3928174,436.1760000,16.1950000,12.9340000,15.7364000
